name,main_link,sub_link
"Защита полов от минеральных удобрений",https://politaks.ru/prompol/minudobrenija/,
"Пищевой пол",https://politaks.ru/prompol/piwevoj-pol/,products/nalivnoi-pol/pu-pol/
"Дезактивируемое полиуретановое покрытие",https://politaks.ru/prompol/pokrytie-radiacija/,
"Покрытие для открытых площадок",https://politaks.ru/prompol/pokrytija-ulica/,
"Полы в автомойках, покрытия для автомоек",https://politaks.ru/prompol/poly-automoyka/,
"Полы в автосервисе",https://politaks.ru/prompol/poly-avtoservis/,
"Полы в технических помещениях",https://politaks.ru/prompol/poly-bez-nagruzok/,
"Покрытия для пола в горячем цехе",https://politaks.ru/prompol/poly-gorjachem/,
"Морозостойкие полы",https://politaks.ru/prompol/poly-holodilnikov/,
"Полы в коровниках",https://politaks.ru/prompol/poly-korovniki/,
"Полы для магазина",https://politaks.ru/prompol/poly-magazin/,
"Медицинские полы",https://politaks.ru/prompol/poly-medicina/,
"Антискользящие покрытия",https://politaks.ru/prompol/antiskolzjawee-pokrytie/,
"Полы и покрытия для мокрых, влажных помещений",https://politaks.ru/prompol/poly-mokryh/,
"Морозостойкие покрытия для полов в холодных помещениях",https://politaks.ru/prompol/poly-moroz/,
"Пол для офиса, полы в офисных помещениях",https://politaks.ru/prompol/poly-office/,
"Полы для сельского хозяйства",https://politaks.ru/prompol/poly-selskoe-hozjajstvo/,
"Покрытие для спортзала",https://politaks.ru/prompol/poly-sportzal/,
"Крепкий пол для тяжелых нагрузок",https://politaks.ru/prompol/poly-stojkie/,
"Гражданские полы, административные полы, жилищные полы",https://politaks.ru/prompol/poly-zhilye-zdanija/,
"Противоскользящие покрытия",https://politaks.ru/prompol/protivoskolzjawie-pokrytija/,
"Укрепление бетона упрочнение",https://politaks.ru/prompol/uprochnenie-betona/,products/beton/uprochnenie-betona/
"Нефтедобыча, нефтепереработка, хранение, транспортировка",https://politaks.ru/prompol/pokrytija-neft/,
"Полы для цеха",https://politaks.ru/prompol/poly-ceh/,
"Пол для склада",https://politaks.ru/prompol/poly-sklad/,
"Пол в гараже",https://politaks.ru/prompol/poly-garazh/,
"Полы для торговых и развлекательных центров",https://politaks.ru/prompol/poly-torgovyie-czentryi/,
"Полиуретановые наливные полы",https://politaks.ru/polimer/nalivnoy-pol-pu/,products/nalivnoi-pol/
